facil_ty_k;facil_ty;aktiv;begrebsdefinition
5082;"Historiske steder";1;"Lokalitet eller område, hvor særlige historiske begivenheder har fundet sted."
5092;"Lokal- eller sogne-arkiv";1;"Lokalt arkiv til opbevaring af indsamlet viden om kultur og historie i nærmiljøet – herunder evt også kirkehistorie."
5102;"Kunst";1;"Udendørs kunst, som fx skulpturer, gavlmalerier og land-art"
6011;"Bådplads";1;"Fortøjningssted til både/joller."
6021;"Rostadion";1;"Område på sø til konkurrence roning."
6031;"Umotoriseret sejlads tilladt";1;"Område, hvor det er tilladt at sejle i kano el. lign. Udpeges f.eks. på vandflade, hvor der ellers er generelt sejlforbud."
6042;"Sejlsports- og roklub";1;"Klubhus, hvorfra der udøves sejlsport."
9981;"Andet";1;"Hvor andre facilitetsbetegnelser ikke er dækkende."
9991;"Ukendt";1;"Mangler viden om typen."
4182;"Dykkerspot";1;"Område med seværdigheder og oplevelsesmuligheder under vand, fx vrag, rev, dyreliv mv."
4222;"Udendørs Fitness/Motionsplads";1;"Baner, områder og redskaber under åben himmel, evt. i naturen som er designet til at dyrke motion og fitness, fx naturfitness, sundhedsplads, motionsplads, pulspark mv."
6052;"Kano-/kajakrasteplads";1;"Rasteplads til kano- og/eller kajakfarer samt SUP (StandUpPadleboard)."
1051;"Badestrand/-sted";1;"Område, der anvendes til badning. Særligt udpegede, servicerede ikke nødvendigvis certificerede. Fælles navn for hav- og søbade."
1132;"Tørvejrsrum/Madpakkehus";1;"Halvåbent, overdækket sted, hvor du kan raste og spise medbragt mad."
1201;"Borde-bænke/Picnic";1;"Plads med borde, siddepladser, evt. hængekøjer og andre ting til roligt ophold."
1122;"Cykelpumpestation/-servicepost";1;"Sted hvor der er opstillet cykelpumpe og evt. andre faciliteter til service af cykler."
2012;"Fugletårn/Udsigtstårn";1;"Platform, tårn eller skjul som giver mulighed for udsigt over et område eller særlige seværdigheder, fx udsyn til områdets fugle, dyreliv, landskab mv."
2171;"Frit fiskeri";1;"Område ved sø eller å, hvor der er en udvidet ret ud over den almindelig ret til at fiske ved danske kyster med gyldigt dansk fisketegn."
3071;"Fri teltning";1;"Større område, hvor der frit må slås telt op og overnattes en enkelt nat, uden at der skal søges tilladelse i forvejen. Der må højest slå to telte og teltene må maks være trepersoners telte."
4311;"Snorkelsti/-område";1;"Rute/område under vandet til snorkling, markeret f.eks. med et tov langs bunden eller med bøjer. Der kan i forbindelse med ruten formidles om de ting der kan opleves, fx via billeder, tekst eller effekter."
1261;"Badevandsflag";1;"Badeområde der er tildelt badevandsflag, der ikke er Blå Flag."
6062;"Ophaler-/isætningsplads";1;"Plads til isætning optagning af ikke motoriserede småbåde (kano, kajak o.lign.)"
2183;"Geopark";1;"Et særligt udpeget naturområde, hvor den geologiske historie kan studeres og opleves. Geoparker har til formål at beskytte, formidle og understøtte den geologiske arv."
2191;"Seværdighed - Fauna";1;"Seværdighed indenfor dyreriget"
2201;"Seværdighed – Flora";1;"Seværdighed indenfor planteriget"
2211;"Seværdighed – Geologi";1;"Geologisk seværdighed "
2223;"Naturkanon";1;"Statens udpegede steder. Naturkanon steder/områder. Indmeldes kun af staten/MST."
3081;"Hængekøjelund";1;"Område indrettet enten med træer eller pæle, som er placeret med en afstand, som passer til at opsætte hængekøjer imellem. De anvendes ofte til overnatning af store grupper, som ønsker at sove i hængekøje."
3091;"Bålhytte";1;"Overdækket bålsted. Ofte med delvis sidebeklædning og hul i taget, så røgen kan slippe ud."
4322;"Orienteringsrute startpunkt";1;"""Find vej i""/orienteringsrute med afmærkede poster, hvor det handler om at finde vej til de opsatte poster ved hjælp af et kort. Viser blot startpunktet/-pælen."
4332;"Orienteringsrute slutpunkt";1;"""Find vej i""/orienteringsrute med afmærkede poster, hvor det handler om at finde vej til de opsatte poster ved hjælp af et kort. Viser blot slutpunktet/-pælen."
4342;"Bindebom";1;"Sted hvor man kan tøjre en hest"
4351;"Skibakke";1;"Område med mulighed for at stå på ski i forbindelse med snevejr."
4361;"Fodboldgolf";1;"Anlæg/bane til fodboldgolf."
4371;"Bueskydning";1;"Bane til bueskydning."
4381;"Strandhåndboldbane";1;"Bane hvor man kan spille strandhåndbold."
6071;"Svajeplads";1;"Svajeplads/Bøje med mulighed for opankning."
6081;"Vandscooter tilladt";1;"Sejlads med vandscooter tilladt. Dog i 300m-kystzonen kun vinkelret på kysten og med max 5 knob."
1112;"Motionsmødested";1;"Herunder trailhead og lignende. Mødested hvorfra flere rekreative ruter udgår, som kan være udgangspunkt for fælles motion og aktivitet. Ved et Trailhead findes infotavler eller anden form for information, p-plads og evt. andre simple faciliteter i umiddelbar nærhed."
1152;"Info-tavle";1;"Opstillet skilt, planche eller tavle med information om et område og dets muligheder."
1191;"Hundeskov/Hundepark/fritløbsareal";1;"Særligt udpeget og eventuelt indhegnet område for hundeluftning, hvor hunde må løbe frit, under forudsætning af ”fuld kontrol af hunden”. Kommunale og private områder."
1272;"Badevandsflag facilitet";1;"Faciliteter til strande med badevandsflag, der ikke er Blå Flag, f.eks. førstehjælpskasser, skilte på vandkvalitetsmålinger, nødtelefon."
1281;"Hesteophold";1;"Mindre indhegning m.v. til heste, som kan benyttes i forbindelse med midlertidigt ophold. Evt. en del af et høhotel."
1302;"Formidlingscenter";1;"Herunder trailcenter, gateway, port mv. Sted eller bygning som er udgangs- og knudepunkt for formidling af natur og aktiviteter samt oplevelser og ophold i det omkringliggende landskab. Indeholder relevante services og faciliteter eller skiltning/vejvisning dertil."
1062;"Badepunkt";1;"Badested tildelt Det nordiske kystflag."
3012;"Shelter";1;"Primitiv overdækket overnatningsmulighed. En shelter kan være alt fra nogle stolper og en presenning, over klassiske sheltere, til simple hytter med overnatningspladser. Åbne i en eller flere sider."
1291;"Holdeplads";1;"Holdeplads i tilknytning til rekreative områder/faciliteter og som ikke er registreret andre steder. Man kan angive om holdepladsen er egnet til f.eks. hestetrailer i beskrivelsesfeltet."
1311;"Spang";1;"Simpel bro. Typisk bestående af udlagte stammer eller brædder."
1321;"Stente";1;"Lille dobbelt stige med form som et omvendt V der fører over et hegn eller gærde omkring en mark med fx køer."
1331;"Badebro";1;"Bro med adgang til badning."
1341;"Bro";1;"Bro."
4391;"Hundetræningsareal";1;"Areal hvor man kan træne hunde."
2231;"Naturnationalpark";1;"Statens udpegede naturnationalparker."
